0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,13
13,29
26,15
11,31
28,8
4,19
29,15
5,32
56,16
3,30
51,0
3,28
60,13
6,30
61,5
2,26
51,0
2,25
62,7
1,34
66,2
5,51
66,6
2,55
65,5
5,29
61,2
2,22
52,7
3,30
70,5
5,46
70,7
8,58
66,11
17,58
56,16
20,39
33,16
21,24
19,20
36,26
13,30
53,7
3,36
57,0
6,39
56,5
13,24
58,9
9,29
60,7
6,32
71,10
17,45
61,12
16,37
49,17
15,34
41,24
24,33
22,29
40,17
9,50
49,5
8,61
30,10
1,86
48,20
4,74
43,4
10,66
53,13
6,54
43,5
1,70
40,24
2,70
48,7
5,81
50,19
2,68
48,5
6,68
44,6
9,45
38,1
1,35
45,2
1,47
58,2
9,57
52,1
5,58
53,6
12,63
53,6
